Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
coxA,coxA,PA14_01300,"pae00190,pae01100",,,"pau00190,pau01100",,"pag00190,pag01100","paf00190,paf01100","pnc00190,pnc01100","paeb00190,paeb01100",,,,,,,,,"paeu00190,paeu01100",,,
PA14_13940,PA14,PA14_13940,,,,,,,,,,,,,,,,,,,,,
PA14_13990,PA14,PA14_13990,,,,,,,,,,,,,,,,,,,,,
PA14_14000,PA14,PA14_14000,,,,,,,,,,,,,,,,,,,,,
PA14_14010,PA14,PA14_14010,,,,,,,,,,,,,,,,,,,,,
PA14_14020,PA14,PA14_14020,,,,,,,,,,,,,,,,,,,,,
rhl,rhl,PA14_14040,,,,,,,,,,,,,,,,,,,,,
PA14_14060,PA14,PA14_14060,,,,,,,,,,,,,,,,,,,,,
PA14_14080,PA14,PA14_14080,,,,,,,,,,,,,,,,,,,,,
PA14_01310,PA14,PA14_01310,,,,"pau00190,pau01100",,,,,,,,,,,,,,,,,
PA14_14100,PA14,PA14_14100,,,,pau02010,,,,,,,,,,,,,,,,,
pcs,pcs,PA14_14110,"pae00564,pae01110",,,"pau00564,pau01110",,"pag00564,pag01110","paf00564,paf01110","pnc00564,pnc01110","paeb00564,paeb01110",,,,,,,,,"paeu00564,paeu01110",,,
PA14_14130,PA14,PA14_14130,,,,,,,,,,,,,,,,,,,,,
PA14_14140,PA14,PA14_14140,,,,,,,,,,,,,,,,,,,,,
PA14_14150,PA14,PA14_14150,,,,,,,,,,,,,,,,,,,,,
PA14_14160,PA14,PA14_14160,,,,,,,,,,,,,,,,,,,,,
PA14_14170,PA14,PA14_14170,,,,,,,,,,,,,,,,,,,,,
PA14_14200,PA14,PA14_14200,,,,,,,,,,,,,,,,,,,,,
PA14_14210,PA14,PA14_14210,,,,,,,,,,,,,,,,,,,,,
PA14_14220,PA14,PA14_14220,,,,,,,,,,,,,,,,,,,,,
coIII,coIII,PA14_01320,"pae00190,pae01100",,,"pau00190,pau01100","pap00190,pap01100","pag00190,pag01100","paf00190,paf01100","pnc00190,pnc01100","paeb00190,paeb01100",,,,,,,,,"paeu00190,paeu01100",,,
PA14_14230,PA14,PA14_14230,,,,,,,,,,,,,,,,,,,,,
PA14_14250,PA14,PA14_14250,,,,,,,,,,,,,,,,,,,,,
PA14_14270,PA14,PA14_14270,,,,,,,,,,,,,,,,,,,,,
PA14_14280,PA14,PA14_14280,,,,,,,,,,,,,,,,,,,,,
PA14_14290,PA14,PA14_14290,,,,,,,,,,,,,,,,,,,,,
PA14_14300,PA14,PA14_14300,,,,,,,,,,,,,,,,,,,,,
PA14_14310,PA14,PA14_14310,,,,,,,,,,,,,,,,,,,,,
PA14_14320,PA14,PA14_14320,,,,,,,,,,,,,,,,,,,,,
PA14_14330,PA14,PA14_14330,,,,,,,,,,,,,,,,,,,,,
PA14_14340,PA14,PA14_14340,,,,,,,,,,,,,,,,,,,,,
PA14_01330,PA14,PA14_01330,,,,,,,,,,,,,,,,,,,,,
PA14_14360,PA14,PA14_14360,,,,,,,,,,,,,,,,,,,,,
PA14_14370,PA14,PA14_14370,,,,,,,,,,,,,,,,,,,,,
PA14_14380,PA14,PA14_14380,,,,,,,,,,,,,,,,,,,,,
PA14_14390,PA14,PA14_14390,,,,,,,,,,,,,,,,,,,,,
PA14_14420,PA14,PA14_14420,,,,,,,,,,,,,,,,,,,,,
PA14_14430,PA14,PA14_14430,,,,,,,,,,,,,,,,,,,,,
valS,valS,PA14_14440,pae00970,,,,,,,,,,,,,,,,,,,,
PA14_14450,PA14,PA14_14450,,,,,,,,,,,,,,,,,,,,,
