Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
PA14_47350,PA14,PA14_47350,,,,,,,,,,,,,,,,,,,,,
PA14_04700,PA14,PA14_04700,,,,,,,,,,,,,,,,,,,,,
PA14_47360,PA14,PA14_47360,,,,,,,,,,,,,,,,,,,,,
PA14_47370,PA14,PA14_47370,,,,pau03060,,,,,,,,,,,,,,,,,
PA14_47380,PA14,PA14_47380,,,,,,,,,,,,,,,,,,,,,
PA14_47390,PA14,PA14_47390,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_47400,PA14,PA14_47400,,,,,,,,,,,,,,,,,,,,,
PA14_47410,PA14,PA14_47410,,,,,,,,,,,,,,,,,,,,,
PA14_47420,PA14,PA14_47420,,,,,,,,,,,,,,,,,,,,,
PA14_47430,PA14,PA14_47430,,,,,,,,,,,,,,,,,,,,,
PA14_47440,PA14,PA14_47440,,,,,,,,,,,,,,,,,,,,,
PA14_47450,PA14,PA14_47450,,,,,,,,,,,,,,,,,,,,,
PA14_04710,PA14,PA14_04710,,,,,,,,,,,,,,,,,,,,,
rnd,rnd,PA14_47460,,,,,,,,,,,,,,,,,,,,,
PA14_47490,PA14,PA14_47490,,,,,,,,,,,,,,,,,,,,,
sseA,sseA,PA14_47500,,,,"pau00270,pau00920,pau01100,pau01120,pau04122",,,,"pnc00270,pnc00920,pnc01100,pnc01120,pnc04122","paeb00270,paeb00920,paeb01100,paeb01120,paeb04122",,,,,,,,,,,,
PA14_47510,PA14,PA14_47510,,,,,,,,,,,,,,,,,,,,,
PA14_47520,PA14,PA14_47520,,,,,,,,,,,,,,,,,,,,,
PA14_47530,PA14,PA14_47530,,,,,,,,,,,,,,,,,,,,,
PA14_47540,PA14,PA14_47540,,,,,,,,,,,,,,,,,,,,,
PA14_47550,PA14,PA14_47550,,,,"pau00480,pau00590,pau01100",,,,,,,,,,,,,,,,,
PA14_47560,PA14,PA14_47560,,,,,,,,,,,,,,,,,,,,,
PA14_04730,PA14,PA14_04730,,,,,,,,,,,,,,,,,,,,,
PA14_47580,PA14,PA14_47580,,,,,,,,,,,,,,,,,,,,,
PA14_47600,PA14,PA14_47600,,,,,,,,,,,,,,,,,,,,,
PA14_47610,PA14,PA14_47610,,,,,,,,,,,,,,,,,,,,,
PA14_47640,PA14,PA14_47640,,,,,,,,,,,,,,,,,,,,,
cobS,cobS,PA14_47650,,"paev00860,paev01100,paev01240","paei00860,paei01100,paei01240","pau00860,pau01100,pau01240","pap00860,pap01100,pap01240",,"paf00860,paf01100,paf01240","pnc00860,pnc01100,pnc01240","paeb00860,paeb01100,paeb01240","pdk00860,pdk01100,pdk01240","psg00860,psg01100,psg01240",,,,,,,"paeu00860,paeu01100,paeu01240",,"paec00860,paec01100,paec01240","paeo00860,paeo01100,paeo01240"
PA14_47660,PA14,PA14_47660,,,,"pau00860,pau01100,pau01240",,,,,,,,,,,,,,,,,
cobT,cobT,PA14_47670,,"paev00860,paev01100,paev01240","paei00860,paei01100,paei01240","pau00860,pau01100,pau01240","pap00860,pap01100,pap01240",,"paf00860,paf01100,paf01240","pnc00860,pnc01100,pnc01240","paeb00860,paeb01100,paeb01240","pdk00860,pdk01100,pdk01240","psg00860,psg01100,psg01240",,,,,,,,,"paec00860,paec01100,paec01240","paeo00860,paeo01100,paeo01240"
cobU,cobU,PA14_47680,"pae00860,pae01100,pae01240",,,"pau00860,pau01100,pau01240",,"pag00860,pag01100,pag01240","paf00860,paf01100,paf01240","pnc00860,pnc01100,pnc01240","paeb00860,paeb01100,paeb01240","pdk00860,pdk01100,pdk01240","psg00860,psg01100,psg01240",,,,,,,"paeu00860,paeu01100,paeu01240",,,
cobQ,cobQ,PA14_47690,"pae00860,pae01100,pae01240","paev00860,paev01100,paev01240",,,,,,"pnc00860,pnc01100,pnc01240","paeb00860,paeb01100,paeb01240",,,,,,,,,"paeu00860,paeu01100,paeu01240",,"paec00860,paec01100,paec01240","paeo00860,paeo01100,paeo01240"
cobC,cobC,PA14_47720,"pae00860,pae01100,pae01240",,,"pau00860,pau01100,pau01240",,,,,,,,,,,,,,,,,
fdx1,fdx1,PA14_04750,,,,,,,,,,,,,,,,,,,,,
cobD,cobD,PA14_47730,,,,,,,,,,,,,,,,,,,,,
PA14_47750,PA14,PA14_47750,,,,,,,,,,,,,,,,,,,,,
cobB,cobB,PA14_47760,,,,,,,,,,,,,,,,,,,,,
cobO,cobO,PA14_47790,,,,,,,,,,,,,,,,,,"paeu00860,paeu01100,paeu01240",,"paec00860,paec01100,paec01240","paeo00860,paeo01100,paeo01240"
PA14_47800,PA14,PA14_47800,,,,,,,,,,,,,,,,,,,,,
PA14_47810,PA14,PA14_47810,,,,,,,,,,,,,,,,,,,,,
PA14_47820,PA14,PA14_47820,,,,,,,,,,,,,,,,,,,,,
PA14_47840,PA14,PA14_47840,,,,"pau00330,pau01100",,,,,,,,,,,,,,,,,
PA14_47850,PA14,PA14_47850,,,,"pau00330,pau01100",,,,,,,,,,,,,,,,,
gyrB,gyrB,PA14_00050,,,,,,,,,,,,,,,,,,,,,
PA14_00470,PA14,PA14_00470,,,,,,,,,,,,,,,,,,,,,
coaD,coaD,PA14_04760,,,,,,,,,,,,,,,,,,,,,
PA14_47860,PA14,PA14_47860,,,,,,,,,,,,,,,,,,,,,
PA14_47870,PA14,PA14_47870,,,,,,,,,,,,,,,,,,,,,
PA14_47880,PA14,PA14_47880,,,,,,,,,,,,,,,,,,,,,
PA14_47890,PA14,PA14_47890,,,,,,,,,,,,,,,,,,,,,
PA14_47900,PA14,PA14_47900,,,,,,,,,,,,,,,,,,,,,
PA14_47910,PA14,PA14_47910,,,,,,,,,,,,,,,,,,,,,
PA14_47920,PA14,PA14_47920,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_47930,PA14,PA14_47930,,,,pau00330,,,,,,,,,,,,,,,,,
PA14_47940,PA14,PA14_47940,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_47950,PA14,PA14_47950,,,,,,,,,,,,,,,,,,,,,
PA14_04780,PA14,PA14_04780,,,,,,,,,,,,,,,,,,,,,
PA14_47960,PA14,PA14_47960,,,,,,,,,,,,,,,,,,,,,
PA14_47970,PA14,PA14_47970,,,,,,,,,,,,,,,,,,,,,
PA14_48000,PA14,PA14_48000,,,,,,,,,,,,,,,,,,,,,
PA14_48010,PA14,PA14_48010,,,,"pau00040,pau00053,pau01100",,,,,,,,,,,,,,,,,
PA14_48020,PA14,PA14_48020,,,,"pau00310,pau01100",,,,,,,,,,,,,,,,,
PA14_48030,PA14,PA14_48030,,,,"pau02020,pau02030",,,,,,,,,,,,,,,,,
aprI,aprI,PA14_48040,,,,,,,,,,,,,,,,,,,,,
aprA,aprA,PA14_48060,pae01503,paev01503,paei01503,pau01503,pap01503,pag01503,paf01503,pnc01503,paeb01503,,,,,,,,,paeu01503,,paec01503,paeo01503
aprF,aprF,PA14_48090,,,,,,,,,,,,,,,,,,,,,
PA14_04790,PA14,PA14_04790,,,,,,,,,,,,,,,,,,,,,
aprE,aprE,PA14_48100,,,,,,,,,,,,,,,,,,,,,
aprD,aprD,PA14_48115,,,,,,,,,,,,,,,,,,,,,
PA14_48140,PA14,PA14_48140,,,,,,,,,,,,,,,,,,,,,
PA14_48150,PA14,PA14_48150,,,,,,,,,,,,,,,,,,,,,
PA14_48160,PA14,PA14_48160,,,,,,,,,,,,,,,,,,,,,
PA14_48170,PA14,PA14_48170,,,,,,,,,,,,,,,,,,,,,
PA14_48190,PA14,PA14_48190,,,,,,,,,,,,,,,,,,,,,
PA14_48200,PA14,PA14_48200,,,,,,,,,,,,,,,,,,,,,
PA14_48210,PA14,PA14_48210,,,,,,,,,,,,,,,,,,,,,
PA14_04810,PA14,PA14_04810,,,,,,,,,,,,,,,,,,,,,
PA14_48240,PA14,PA14_48240,,,,,,,,,,,,,,,,,,,,,
PA14_48280,PA14,PA14_48280,,,,,,,,,,,,,,,,,,,,,
PA14_48300,PA14,PA14_48300,,,,,,,,,,,,,,,,,,,,,
PA14_48310,PA14,PA14_48310,,,,,,,,,,,,,,,,,,,,,
PA14_48320,PA14,PA14_48320,,,,,,,,,,,,,,,,,,,,,
PA14_48330,PA14,PA14_48330,,,,,,,,,,,,,,,,,,,,,
PA14_48340,PA14,PA14_48340,,,,,,,,,,,,,,,,,,,,,
PA14_48350,PA14,PA14_48350,,,,,,,,,,,,,,,,,,,,,
PA14_48380,PA14,PA14_48380,,,,,,,,,,,,,,,,,,,,,
PA14_48390,PA14,PA14_48390,,,,,,,,,,,,,,,,,,,,,
PA14_04820,PA14,PA14_04820,,,,,,,,,,,,,,,,,,,,,
PA14_48400,PA14,PA14_48400,,,,,,,,,,,,,,,,,,,,,
PA14_48410,PA14,PA14_48410,,,,,,,,,,,,,,,,,,,,,
PA14_48420,PA14,PA14_48420,,,,,,,,,,,,,,,,,,,,,
PA14_48440,PA14,PA14_48440,,,,,,,,,,,,,,,,,,,,,
PA14_48450,PA14,PA14_48450,,,,,,,,,,,,,,,,,,,,,
PA14_48460,PA14,PA14_48460,,,,,,,,,,,,,,,,,,,,,
PA14_48470,PA14,PA14_48470,,,,,,,,,,,,,,,,,,,,,
PA14_48490,PA14,PA14_48490,,,,"pau00330,pau01100",,,,,,,,,,,,,,,,,
PA14_48500,PA14,PA14_48500,,,,,,,,,,,,,,,,,,,,,
PA14_48510,PA14,PA14_48510,,,,,,,,,,,,,,,,,,,,,
PA14_04830,PA14,PA14_04830,,,,,,,,,,,,,,,,,,,,,
PA14_48520,PA14,PA14_48520,,,,,,,,,,,,,,,,,,,,,
PA14_48530,PA14,PA14_48530,,,,,,,,,,,,,,,,,,,,,
PA14_48540,PA14,PA14_48540,,,,,,,,,,,,,,,,,,,,,
PA14_48550,PA14,PA14_48550,,,,,,,,,,,,,,,,,,,,,
PA14_48560,PA14,PA14_48560,,,,,,,,,,,,,,,,,,,,,
PA14_48570,PA14,PA14_48570,,,,,,,,,,,,,,,,,,,,,
PA14_48590,PA14,PA14_48590,,,,,,,,,,,,,,,,,,,,,
PA14_48600,PA14,PA14_48600,,,,,,,,,,,,,,,,,,,,,
PA14_48610,PA14,PA14_48610,,,,,,,,,,,,,,,,,,,,,
PA14_48620,PA14,PA14_48620,,,,,,,,,,,,,,,,,,,,,
PA14_04840,PA14,PA14_04840,,,,,,,,,,,,,,,,,,,,,
PA14_48630,PA14,PA14_48630,,,,,,,,,,,,,,,,,,,,,
PA14_48640,PA14,PA14_48640,,,,,,,,,,,,,,,,,,,,,
PA14_48650,PA14,PA14_48650,,,,,,,,,,,,,,,,,,,,,
PA14_48660,PA14,PA14_48660,,,,,,,,,,,,,,,,,,,,,
PA14_48680,PA14,PA14_48680,,,,,,,,,,,,,,,,,,,,,
kefB,kefB,PA14_48700,,,,,,,,,,,,,,,,,,,,,
PA14_48710,PA14,PA14_48710,,,,,,,,,,,,,,,,,,,,,
PA14_48730,PA14,PA14_48730,,,,,,,,,,,,,,,,,,,,,
PA14_48740,PA14,PA14_48740,,,,,,,,,,,,,,,,,,,,,
PA14_48750,PA14,PA14_48750,,,,,,,,,,,,,,,,,,,,,
PA14_04850,PA14,PA14_04850,,,,,,,,,,,,,,,,,,,,,
PA14_48760,PA14,PA14_48760,,,,,,,,,,,,,,,,,,,,,
PA14_48770,PA14,PA14_48770,,,,,,,,,,,,,,,,,,,,,
PA14_48780,PA14,PA14_48780,,,,,,,,,,,,,,,,,,,,,
PA14_48790,PA14,PA14_48790,,,,,,,,,,,,,,,,,,,,,
PA14_48800,PA14,PA14_48800,,,,,,,,,,,,,,,,,,,,,
PA14_48810,PA14,PA14_48810,,,,,,,,,,,,,,,,,,,,,
PA14_48830,PA14,PA14_48830,,,,,,,,,,,,,,,,,,,,,
PA14_48840,PA14,PA14_48840,,,,,,,,,,,,,,,,,,,,,
PA14_48850,PA14,PA14_48850,,,,,,,,,,,,,,,,,,,,,
PA14_48860,PA14,PA14_48860,,,,,,,,,,,,,,,,,,,,,
PA14_04860,PA14,PA14_04860,,,,,,,,,,,,,,,,,,,,,
PA14_48870,PA14,PA14_48870,,,,,,,,,,,,,,,,,,,,,
PA14_48890,PA14,PA14_48890,,,,,,,,,,,,,,,,,,,,,
PA14_48910,PA14,PA14_48910,,,,,,,,,,,,,,,,,,,,,
PA14_48920,PA14,PA14_48920,,,,,,,,,,,,,,,,,,,,,
PA14_48930,PA14,PA14_48930,,,,,,,,,,,,,,,,,,,,,
coaB,coaB,PA14_48940,,,,,,,,,,,,,,,,,,,,,
PA14_04870,PA14,PA14_04870,,,,,,,,,,,,,,,,,,,,,
PA14_48970,PA14,PA14_48970,,,,,,,,,,,,,,,,,,,,,
PA14_49000,PA14,PA14_49000,,,,,,,,,,,,,,,,,,,,,
PA14_49010,PA14,PA14_49010,,,,,,,,,,,,,,,,,,,,,
PA14_49040,PA14,PA14_49040,,,,,,,,,,,,,,,,,,,,,
PA14_49050,PA14,PA14_49050,,,,,,,,,,,,,,,,,,,,,
PA14_49060,PA14,PA14_49060,,,,,,,,,,,,,,,,,,,,,
PA14_49070,PA14,PA14_49070,,,,pau01100,,,,,,,,,,,,,,,,,
PA14_49080,PA14,PA14_49080,,,,,,,,,,,,,,,,,,,,,
PA14_00480,PA14,PA14_00480,,,,,,,,,,,,,,,,,,,,,
PA14_04890,PA14,PA14_04890,,,,,,,,,,,,,,,,,,,,,
PA14_49090,PA14,PA14_49090,,,,,,,,,,,,,,,,,,,,,
PA14_49100,PA14,PA14_49100,,,,,,,,,,,,,,,,,,,,,
PA14_49110,PA14,PA14_49110,,,,,,,,,,,,,,,,,,,,,
dctA,dctA,PA14_49130,pae02020,paev02020,paei02020,pau02020,pap02020,pag02020,paf02020,pnc02020,paeb02020,,,,,,,,,paeu02020,,paec02020,paeo02020
PA14_49150,PA14,PA14_49150,,,,,,,,,,,,,,,,,,,,,
PA14_49160,PA14,PA14_49160,,,,,,,,,,,,,,,,,,,,,
phoQ,phoQ,PA14_49170,"pae01503,pae02020",,,"pau01503,pau02020","pap01503,pap02020","pag01503,pag02020","paf01503,paf02020","pnc01503,pnc02020",,,,,,,,,,"paeu01503,paeu02020",,,
phoP,phoP,PA14_49180,"pae01503,pae02020","paev01503,paev02020","paei01503,paei02020","pau01503,pau02020","pap01503,pap02020","pag01503,pag02020","paf01503,paf02020","pnc01503,pnc02020",,,,,,,,,,"paeu01503,paeu02020",,,
oprH,oprH,PA14_49200,,,,,,,,,,,,,,,,,,,,,
ftsY,ftsY,PA14_04900,,,,"pau02024,pau03060,pau03070",,"pag02024,pag03060,pag03070","paf02024,paf03060,paf03070","pnc02024,pnc03060,pnc03070","paeb02024,paeb03060,paeb03070",,,,,,,,,"paeu02024,paeu03060,paeu03070",,"paec02024,paec03060,paec03070","paeo02024,paeo03060,paeo03070"
napE,napE,PA14_49210,,,,,,,,,,,,,,,,,,,,,
napF,napF,PA14_49220,,,,,,,,,,,,,,,,,,,,,
napD,napD,PA14_49230,,,,,,,,,,,,,,,,,,,,,
napA,napA,PA14_49250,,,,,,,,,,,,,,,,,,,,,
napB,napB,PA14_49260,,,,,,,,,,,,,,,,,,,,,
napc,napc,PA14_49270,,,,,,,,,,,,,,,,,,,,,
PA14_49280,PA14,PA14_49280,,,,,,,,,,,,,,,,,,,,,
PA14_49290,PA14,PA14_49290,,,,,,,,,,,,,,,,,,,,,
PA14_49300,PA14,PA14_49300,,,,"pau00590,pau01100",,,,,,,,,,,,,,,,,
PA14_49310,PA14,PA14_49310,,,,,,,,,,,,,,,,,,,,,
ftsE,ftsE,PA14_04910,pae02010,paev02010,paei02010,pau02010,pap02010,,paf02010,pnc02010,paeb02010,,,,,,,,,paeu02010,,paec02010,paeo02010
PA14_49320,PA14,PA14_49320,,,,,,,,,,,,,,,,,,,,,
PA14_49330,PA14,PA14_49330,,,,,,,,,,,,,,,,,,,,,
pcpS,pcpS,PA14_49340,,,,,,,,,,,,,,,,,,,,,
PA14_49350,PA14,PA14_49350,,,,,,,,,,,,,,,,,,,,,
PA14_49360,PA14,PA14_49360,,,,,,,,,,,,,,,,,,,,,
dapE,dapE,PA14_49380,,,,,,,,,"paeb00300,paeb01100,paeb01120,paeb01230",,,,,,,,,"paeu00300,paeu01100,paeu01120,paeu01230",,"paec00300,paec01100,paec01120,paec01230","paeo00300,paeo01100,paeo01120,paeo01230"
rrmA,rrmA,PA14_49390,,,,,,,,,,,,,,,,,,,,,
PA14_49400,PA14,PA14_49400,,,,,,,,,,,,,,,,,,,,,
PA14_49410,PA14,PA14_49410,,,,,,,,,,,,,,,,,,,,,
PA14_49420,PA14,PA14_49420,,,,pau02020,,,,,,,,,,,,,,,,,
ftsX,ftsX,PA14_04920,pae02010,,,pau02010,pap02010,pag02010,paf02010,pnc02010,paeb02010,,,,,,,,,paeu02010,,,
PA14_49440,PA14,PA14_49440,,,,pau02020,,,,,,,,,,,,,,,,,
nrdA,nrdA,PA14_49460,,,,,,"pag00230,pag00240,pag01100","paf00230,paf00240,paf01100","pnc00230,pnc00240,pnc01100","paeb00230,paeb00240,paeb01100",,,,,,,,,,,,
nrdB,nrdB,PA14_49470,,,,,,,,,,,,,,,,,,,,,
PA14_49480,PA14,PA14_49480,,,,,,,,,,,,,,,,,,,,,
PA14_49500,PA14,PA14_49500,,,,,,,,,,,,,,,,,,,,,
pyoS3A,pyoS3A,PA14_49520,,,,,,,,,,,,,,,,,,,,,
PA14_49530,PA14,PA14_49530,,,,,,,,,,,,,,,,,,,,,
PA14_49540,PA14,PA14_49540,,,,,,,,,,,,,,,,,,,,,
toxA,toxA,PA14_49560,,,,,,,,,,,,,,,,,,,,,
PA14_49570,PA14,PA14_49570,,,,,,,,,,,,,,,,,,,,,
rpoH,rpoH,PA14_04930,,,,,,,,,,,,,,,,,,,,,
PA14_49580,PA14,PA14_49580,,,,"pau00650,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_49590,PA14,PA14_49590,,,,,,,,,,,,,,,,,,,,,
PA14_49610,PA14,PA14_49610,,,,,,,,,,,,,,,,,,,,,
PA14_49620,PA14,PA14_49620,,,,,,,,,,,,,,,,,,,,,
PA14_49630,PA14,PA14_49630,,,,,,,,,,,,,,,,,,,,,
PA14_49640,PA14,PA14_49640,,,,,,,,,,,,,,,,,,,,,
PA14_49650,PA14,PA14_49650,,,,"pau00230,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_49660,PA14,PA14_49660,,,,,,,,,,,,,,,,,,,,,
PA14_49680,PA14,PA14_49680,,,,,,,,,,,,,,,,,,,,,
PA14_04940,PA14,PA14_04940,,,,,,,,,,,,,,,,,,,,,
PA14_49690,PA14,PA14_49690,,,,,,,,,,,,,,,,,,,,,
PA14_49700,PA14,PA14_49700,,,,,,,,,,,,,,,,,,,,,
PA14_49710,PA14,PA14_49710,,,,"pau00620,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_49720,PA14,PA14_49720,,,,,,,,,,,,,,,,,,,,,
PA14_49730,PA14,PA14_49730,,,,,,,,,,,,,,,,,,,,,
PA14_49740,PA14,PA14_49740,,,,,,,,,,,,,,,,,,,,,
PA14_49750,PA14,PA14_49750,,,,,,,,,,,,,,,,,,,,,
rhlC,rhlC,PA14_49760,,,,,,"pag02024,pag02025","paf02024,paf02025","pnc02024,pnc02025","paeb02024,paeb02025",,,,,,,,,"paeu02024,paeu02025",,,
PA14_49780,PA14,PA14_49780,,,,,,,,,,,,,,,,,,,,,
PA14_49790,PA14,PA14_49790,,,,,,,,,,,,,,,,,,,,,
mtgA,mtgA,PA14_04950,,paev00550,paei00550,pau00550,pap00550,,paf00550,pnc00550,paeb00550,pdk00550,psg00550,,paep00550,,,,,paeu00550,,paec00550,paeo00550
PA14_49800,PA14,PA14_49800,,,,,,,,,,,,,,,,,,,,,
PA14_49810,PA14,PA14_49810,,,,,,,,,,,,,,,,,,,,,
PA14_49820,PA14,PA14_49820,,,,"pau00760,pau01100",,,,,,,,,,,,,,,,,
dgt,dgt,PA14_49840,,,,"pau00230,pau01100","pap00230,pap01100","pag00230,pag01100","paf00230,paf01100","pnc00230,pnc01100","paeb00230,paeb01100","pdk00230,pdk01100","psg00230,psg01100",,,,,,,,,,
PA14_49850,PA14,PA14_49850,,,,,,,,,,,,,,,,,,,,,
PA14_49860,PA14,PA14_49860,,,,,,,,,,,,,,,,,,,,,
PA14_49870,PA14,PA14_49870,,,,,,,,,,,,,,,,,,,,,
PA14_49880,PA14,PA14_49880,,,,,,,,,,,,,,,,,,,,,
PA14_49890,PA14,PA14_49890,,,,pau02025,,,,,,,,,,,,,,,,,
PA14_04960,PA14,PA14_04960,,,,,,,,,,,,,,,,,,,,,
PA14_49900,PA14,PA14_49900,,,,,,,,,,,,,,,,,,,,,
PA14_49910,PA14,PA14_49910,,,,,,,,,,,,,,,,,,,,,
PA14_49920,PA14,PA14_49920,,,,,,,,,,,,,,,,,,,,,
PA14_49930,PA14,PA14_49930,,,,,,,,,,,,,,,,,,,,,
PA14_49940,PA14,PA14_49940,,,,,,,,,,,,,,,,,,,,,
PA14_49960,PA14,PA14_49960,,,,,,,,,,,,,,,,,,,,,
PA14_49970,PA14,PA14_49970,,,,,,,,,,,,,,,,,,,,,
PA14_49990,PA14,PA14_49990,,,,,,,,,,,,,,,,,,,,,
PA14_50000,PA14,PA14_50000,,,,,,,,,,,,,,,,,,,,,
PA14_50010,PA14,PA14_50010,,,,,,,,,,,,,,,,,,,,,
PA14_04970,PA14,PA14_04970,,,,pau04122,,,,,,,,,,,,,,,,,
PA14_50020,PA14,PA14_50020,,,,,,,,,,,,,,,,,,,,,
PA14_50030,PA14,PA14_50030,,,,,,,,,,,,,,,,,,,,,
PA14_50040,PA14,PA14_50040,,,,,,,,,,,,,,,,,,,,,
PA14_50050,PA14,PA14_50050,,,,,,,,,,,,,,,,,,,,,
PA14_50060,PA14,PA14_50060,,,,,,,,,,,,,,,,,,,,,
PA14_50070,PA14,PA14_50070,,,,,,,,,,,,,,,,,,,,,
fliJ,fliJ,PA14_50080,,,,,,pag02040,,,,,,,,,,,,,,,
fliI,fliI,PA14_50100,,,,,,,,,,,,,,,,,,,,,
fliH,fliH,PA14_50110,,,,,,,,,,,,,,,,,,,,,
fliG,fliG,PA14_50130,"pae02030,pae02040","paev02030,paev02040","paei02030,paei02040","pau02030,pau02040","pap02030,pap02040","pag02030,pag02040","paf02030,paf02040","pnc02030,pnc02040","paeb02030,paeb02040","pdk02030,pdk02040","psg02030,psg02040","prp02030,prp02040",,,"paem02030,paem02040","pael02030,pael02040",,"paeu02030,paeu02040","paeg02030,paeg02040","paec02030,paec02040","paeo02030,paeo02040"
thiG,thiG,PA14_04980,"pae00730,pae01100,pae01240","paev00730,paev01100,paev01240","paei00730,paei01100,paei01240","pau00730,pau01100,pau01240","pap00730,pap01100,pap01240","pag00730,pag01100,pag01240","paf00730,paf01100,paf01240","pnc00730,pnc01100,pnc01240","paeb00730,paeb01100,paeb01240","pdk00730,pdk01100,pdk01240","psg00730,psg01100,psg01240",,,,,,,"paeu00730,paeu01100,paeu01240",,"paec00730,paec01100,paec01240","paeo00730,paeo01100,paeo01240"
fliF,fliF,PA14_50140,pae02040,paev02040,paei02040,pau02040,pap02040,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,,,,,,,paeu02040,,paec02040,paeo02040
fliE,fliE,PA14_50160,pae02040,paev02040,paei02040,pau02040,pap02040,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,,,,,,,paeu02040,,paec02040,paeo02040
fleR,fleR,PA14_50180,"pae02020,pae02040",,,"pau02020,pau02040","pap02020,pap02040","pag02020,pag02040","paf02020,paf02040","pnc02020,pnc02040","paeb02020,paeb02040",,,,,,,,,"paeu02020,paeu02040",,,
fleS,fleS,PA14_50200,pae02020,,,pau02020,pap02020,pag02020,paf02020,pnc02020,,,,,,,,,,paeu02020,,,
fleQ,fleQ,PA14_50220,"pae02020,pae02025,pae02040",,,"pau02020,pau02025,pau02040","pap02020,pap02025,pap02040","pag02020,pag02025,pag02040","paf02020,paf02025,paf02040","pnc02020,pnc02025,pnc02040","paeb02020,paeb02025,paeb02040",,,,,,,,,,,,
PA14_50240,PA14,PA14_50240,,,,,,,,,,,,,,,,,,,,,
fliS,fliS,PA14_50250,,,,,,,,,,,,,,,,,,,,,
fliD,fliD,PA14_50270,,,,,,,,,,,,,,,,,,,,,
PA14_50280,PA14,PA14_50280,,,,,,,,,,,,,,,,,,,,,
fliC,fliC,PA14_50290,,,,,,,,,,,,,,,,,,"paeu02020,paeu02040",,"paec02020,paec02040","paeo02020,paeo02040"
PA14_00490,PA14,PA14_00490,,,,,,,,,,,,,,,,,,,,,
trmB,trmB,PA14_05000,,,,,,,,,,,,,,,,,,,,,
PA14_50300,PA14,PA14_50300,,,,,,,,,,,,,,,,,,,,,
PA14_50310,PA14,PA14_50310,,,,,,,,,,,,,,,,,,,,,
PA14_50320,PA14,PA14_50320,,,,,,,,,,,,,,,,,,,,,
PA14_50330,PA14,PA14_50330,,,,,,,,,,,,,,,,,,,,,
flgL,flgL,PA14_50340,,,,,,,,,,pdk02040,psg02040,,,,,,,,,paec02040,paeo02040
flgK,flgK,PA14_50360,pae02040,paev02040,,,,,,,,,,,,,,,,,,,
flgJ,flgJ,PA14_50380,,,,pau02040,pap02040,,,,,,,,,,,,,,,,
flgI,flgI,PA14_50410,,,,,,,,,,,,,,,,,,,,,
flgH,flgH,PA14_50420,,,,,,,,,,,,,,,,,,,,,
flgG,flgG,PA14_50430,pae02040,paev02040,paei02040,pau02040,pap02040,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,prp02040,paep02040,,paem02040,pael02040,,paeu02040,paeg02040,paec02040,paeo02040
PA14_05010,PA14,PA14_05010,,,,,,,,,,,,,,,,,,,,,
flgF,flgF,PA14_50440,pae02040,paev02040,paei02040,pau02040,pap02040,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,,paep02040,,,,,paeu02040,,paec02040,paeo02040
flgE,flgE,PA14_50450,pae02040,,,pau02040,,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,,,,,,,paeu02040,,,
flgD,flgD,PA14_50460,pae02040,,,pau02040,pap02040,pag02040,paf02040,pnc02040,paeb02040,pdk02040,psg02040,,,,,,,paeu02040,,,
flgC,flgC,PA14_50470,pae02040,paev02040,paei02040,,,,paf02040,pnc02040,paeb02040,pdk02040,psg02040,prp02040,,,paem02040,pael02040,,,paeg02040,paec02040,paeo02040
flgB,flgB,PA14_50480,pae02040,paev02040,paei02040,pau02040,pap02040,pag02040,,,,,,,,,,,,,,,paeo02040
PA14_50500,PA14,PA14_50500,,,,,,,,,,,,,,,,,,,,,
PA14_50510,PA14,PA14_50510,,,,,,,,,,,,,,,,,,,,,
braC,braC,PA14_50520,,,,,,,,,,,,,,,,,,,,,
braD,braD,PA14_50530,,,,,,,,,,,,,,,,,,,,,
PA14_05020,PA14,PA14_05020,,,,,,,,,,,,,,,,,,,,,
livM,livM,PA14_50540,,,,"pau02010,pau02024",,,"paf02010,paf02024","pnc02010,pnc02024","paeb02010,paeb02024","pdk02010,pdk02024","psg02010,psg02024","prp02010,prp02024","paep02010,paep02024",,"paem02010,paem02024","pael02010,pael02024",,"paeu02010,paeu02024","paeg02010,paeg02024",,
livG,livG,PA14_50550,,,,"pau02010,pau02024",,,"paf02010,paf02024","pnc02010,pnc02024","paeb02010,paeb02024","pdk02010,pdk02024","psg02010,psg02024","prp02010,prp02024","paep02010,paep02024",,"paem02010,paem02024","pael02010,pael02024",,,"paeg02010,paeg02024",,
