,ip_rhamn.0,ip_rhamn.1,ip_rhamn.2
pau00910,-14.279055431309157,36.83195438734468,-15.112901592590411
pau00633,-14.832855225931926,6.79402036072988,1.1414550536654477
pau03020,-15.143653043518137,6.6675877566417086,1.309225892315891
pau00565,-15.455350866110646,6.541981331561782,1.4768444530769083
pau00541,-15.47050938819408,-10.648626485197465,10.681957020521445
pau00440,-15.50243567654783,-18.770660045554738,15.039066036891303
pau00625,-16.02608431043523,73.72760475061817,-34.29635669681867
pau00364,-16.721290193323682,23.98540701996068,-7.450942319234441
pau00623,-17.606056610564295,24.754927773508392,-7.577805540397916
pau01220,-17.75616969328598,73.76699095725408,-33.76018930600061
pau00590,-17.776184926774153,-18.31510128769337,15.527612034759208
pau00600,-18.405347193735892,30.620300852155527,-10.459445700373976
pau02024,-21.72797424396405,-5.412980912657004,9.895373973250402
pau00361,-22.008788406239233,10.211246007911305,1.6239021719755264
pau00626,-23.513973075271906,96.47874948356042,-44.06073869876019
pau00500,-23.91562360160667,-21.987649604894663,19.470584161198104
pau02025,-25.739348165860513,-8.51354076596778,12.846791572600704
pau00040,-27.342276745682472,-15.026516958743182,16.84875732655463
pau00523,-29.006531584486893,-19.651006396594326,19.85977778248236
pau00405,-36.32545372504965,-22.398825878581736,23.687746947098077
pau00525,-37.601952609449405,-26.40404088359106,26.242445277407008
