"CS1","CS2"
"pau02025.1",-13.978603843335,5.40735187379316
"pau00680.0",-0.167884793441405,0.019279633104647
"pau00680.1",6.54809529489127,-0.751973256373758
"pau00561.0",-0.0335543442799451,0.0884394762631643
"pau00561.1",3.66680439625455,-9.66462815242805
"pau00640.0",-0.269907033602971,-0.00440476844496201
"pau00640.1",8.89206040843385,0.145114658832418
"pau00010.0",-0.207056313741284,0.202149497744247
"pau00010.1",4.79897492388675,-4.68524892104033
"pau00350.0",-0.025513512660452,0.155072297473264
"pau00350.1",3.45110198276228,-20.9759557769965
"pau00625.0",-0.0278206519145797,0.196274746432792
"pau00625.1",6.64836613122555,-46.9042343294194
"pau00626.0",-0.0225443549233925,0.184930847982365
"pau00626.1",7.48251838107449,-61.3789338376648
"pau01220.0",-0.0229841202414598,0.185091837071475
"pau01220.1",5.82759959449121,-46.9298412699591
"pau00760.0",0.00489712413199929,-0.0216778746921215
"pau00760.1",-0.785402635318963,3.4767058078137
"pau00360.0",-0.0196321674002232,-0.0434632158358056
"pau00360.1",2.67392250654751,5.91973716712356
"pau00051.0",-0.0148933547973624,-0.00904740950876698
"pau00051.1",1.52724304580615,0.927769024697636
"pau00040.0",0.0309257307504076,-0.0184454070691672
"pau00040.1",-16.0113296780259,9.54983072230015
"pau00053.0",-0.0240372261829234,-0.0107564455508076
"pau00053.1",32.5555735819769,14.5683304697869
"pau00541.0",0.101497819564312,-0.0724982765489025
"pau00541.1",-9.47632741536992,6.76878979840665
"pau00220.0",-0.131941665782365,0.267276156777412
"pau00220.1",6.65456889476841,-13.480257268678
"pau02040.0",0.0439620126031973,0.438017587017929
"pau02040.1",-1.37311592584902,-13.6811053207453
"pau00450.0",-0.133901929978439,-0.146231490138929
"pau00450.1",15.0273789760549,16.411085492978
"pau00400.0",-0.068986830711689,-0.0402571906470678
"pau00400.1",4.12948788750005,2.40975820235323
"pau00281.0",-0.00155816468399591,-0.0288285768526536
"pau00281.1",0.491115345367601,9.08643137844638
"pau00592.0",-0.0043533988530329,-0.0105060787808616
"pau00592.1",5.38288667197317,12.9905467781343
"pau00020.0",-0.0834240810251599,-0.163012249173225
"pau00020.1",1.63034977931517,3.1857346368021
"pau00740.0",-0.00451397259334535,-0.00250029911639986
"pau00740.1",1.22850728706789,0.680472825394408
"pau00670.0",-0.0211345820983467,-0.0717783422617248
"pau00670.1",2.6633485230468,9.0453996658144
"pau00627.0",0.000947911199477417,-0.0156688229086421
