strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
T52373,2,25.9,43.1,17.2,0.439680328,0.657903612,14.9464303,EXP,0.926717476,0.046406356,0.033834044,0.038929849,0.038929849
T52373,3,43.1,48,4.9,1.09758394,-0.003108101,5.345594044,EXP,0.226746508,0.000108558,-0.001696113,9.97E-05,-0.001551228
T6313,1,5.7,24.9,19.2,0.003431827,0.410289023,2.129769652,EXP,0.989432464,0.092116164,0.023336436,0.202449451,0.202449451
T6313,2,24.9,44.5,19.6,0.41372085,0.472647702,14.05487407,LGX,0.997588176,0.035398817,0.022620712,0.079830757,0.035493449
T6313,3,44.5,48,3.5,0.886368551,-0.021037492,3.072413574,EXP,0.904872215,0.006899728,-0.007648876,0.00774621,-0.008719369
T63266,1,2.8,22.8,20,0.00199185,0.507336647,1.757827415,EXP,0.99703612,0.137628341,0.024398636,0.282104998,0.235366242
T63266,2,22.8,28.6,5.8,0.509328496,0.487517427,4.650951273,EXP,0.966292266,0.11796624,0.087455348,0.109130933,0.109130933
T63266,3,28.6,48,19.4,0.996845923,-0.129797845,17.54670388,EXP,0.320964541,0.00348466,-0.003485648,0.003713335,-0.003855033
W16407,1,4,22.5,18.5,0.003152063,0.500582943,1.782803229,EXP,0.994758824,0.134859536,0.026423186,0.275639854,0.252082821
W16407,2,22.5,38.1,15.6,0.503735007,0.501548889,13.02422527,EXP,0.924552497,0.033807898,0.026634374,0.031914117,0.031914117
W16407,3,38.1,48,9.9,1.005283896,-0.038173987,9.745175653,EXP,0.991127196,0.002521007,-0.003715658,0.002603831,-0.003766401
W25637,1,11,26.4,15.4,0.007063484,0.404345177,1.088859277,EXP,0.987186564,0.170865335,0.02436508,0.440066244,0.195332207
W25637,2,26.4,29.3,2.9,0.411408661,0.305643031,1.817270503,LGX,0.997575094,0.205253688,0.102962939,0.432204776,0.187704064
W25637,3,29.3,48,18.7,0.717051692,0.204,14.81851636,GOM,0.984261288,0.061875016,0.013504047,0.080587064,0.016882566
W36662,1,10.5,32.9,22.4,0.006542364,0.703865259,4.771067357,EXP,0.953393243,0.122249129,0.034547122,0.153465727,0.153465727
W36662,2,32.9,35.2,2.3,0.710407623,0.176680532,1.9353834,LGX,0.996433082,0.183339617,0.076983641,0.25637961,0.096854765
W36662,3,35.2,48,12.8,0.887088154,-0.209035006,10.28223144,EXP,0.962002821,0.007652933,-0.01851092,0.008579346,-0.024139818
W45909,1,3,22.7,19.7,0.002366919,0.408665836,1.388279214,EXP,0.998353009,0.121790204,0.020524113,0.300867923,0.22756025
W45909,2,22.7,36.4,13.7,0.411032754,0.621842113,10.35429205,LGX,0.919550002,0.039405987,0.03368279,0.050230172,0.045140697
W45909,3,36.4,48,11.6,1.032874868,-0.0521445,11.54704129,EXP,0.131125755,0.001892009,0.001871529,0.001879929,0.001879929
W60856,1,10.1,32.8,22.7,0.010066957,0.673146973,4.952328609,EXP,0.946236023,0.082412817,0.027823264,0.122753459,0.122753459
W60856,2,32.8,35.2,2.4,0.68321393,0.258824277,2.099818998,GOM,0.997596146,0.334685706,0.108429935,0.485629759,0.135482202
W60856,3,35.2,48,12.8,0.942038207,-0.098772643,11.60991717,EXP,0.997916466,0.003705237,-0.007786872,0.003916716,-0.008700151
W70332,1,4.1,33.8,29.7,0.004808326,1.044661288,10.49587059,LGX,0.996836624,0.07847029,0.031837327,0.318744042,0.204226499
W70332,2,33.8,36.1,2.3,1.049469614,0.184957086,2.747049034,GOM,0.952402093,0.23610993,0.08223661,0.222932072,0.071938039
W70332,3,36.1,48,11.9,1.2344267,-0.317501888,12.86021366,EXP,0.928285171,0.019139711,-0.028584407,0.020544296,-0.026146819
W91453,1,9.1,23.5,14.4,0.005796684,0.263209321,0.682285803,EXP,0.978300713,0.119907234,0.016592318,0.479217501,0.192716466
W91453,2,23.5,41,17.5,0.269006005,0.623029291,10.80297213,EXP,0.952223797,0.043512909,0.029498247,0.047772582,0.047772582
W91453,3,41,48,7,0.892035297,-0.085731843,5.942787724,EXP,0.998436431,0.011743186,-0.012362718,0.014561974,-0.014561974
X78812,1,3.5,23.1,19.6,0.005042346,0.342713768,1.387806043,EXP,0.999697723,0.087992148,0.017636455,0.253245675,0.221987037
X78812,2,23.1,36.9,13.8,0.347756114,0.539728664,8.848169145,EXP,0.978036844,0.052372166,0.036346283,0.056666735,0.056666735
X78812,3,36.9,48,11.1,0.887484778,-0.004729547,9.887647794,GOM,0.458638135,0.043088934,0.001551088,0.048681427,0.001749605
X9820,1,3,18.8,15.8,0.002838307,0.280798257,0.899413555,EXP,0.998529921,0.096493221,0.018002801,0.335759666,0.244442587
X9820,2,18.8,36.5,17.7,0.283636564,0.589562575,10.78217219,EXP,0.939348751,0.041192815,0.028152394,0.04617143,0.04617143
X9820,3,36.5,48,11.5,0.873199139,-0.089865915,8.653629256,EXP,0.44495003,3.94E-06,-0.017423898,5.36E-06,-0.020957738
