Row,F20590,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M6057,M74707,PA14,PA7,PAO1,S86968,T36994,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
9.8,0.00293373718367435,0.0229996671373319,0.00564307578265832,0.0166789180590851,0.0201494002985848,0.00625647321125859,0.0190754111238181,0.0142712082245466,0.0231795146792903,0.00945530522025185,0.0168433782955953,0.0266363291619901,0.00958875176530584,0.00289307320717449,0.0165740810784867,0.00374483286948404,0.015526053811915,0.0083398112344604,0.0096311197485409,0.014331381998373,0.00362104051527047,0.00797608057172835,0.00396249049889051,0.010157522537881,0.0123717241536,0.0124222873354359,0.00702288132392713,0.00588087300990431,0.0121038983823384,0.00970303196834095,0.0149559184514672,0.00630827304327911,0.0135220170982934,0.0204969319284328
9.9,0.00299551632960538,0.0233002901409792,0.00571847524455005,0.0171088019331666,0.0205702383268213,0.00636760142958294,0.0197631838510133,0.0141882194555245,0.0239839338091701,0.00965313573601952,0.0169465253691167,0.0258825902059654,0.009784335111093,0.00303467125962744,0.0170837789145498,0.00412353201162266,0.01569559429401,0.00845347926208885,0.00981128657697717,0.0147809368012179,0.00366678649036731,0.00827700518227793,0.00453259193734058,0.0101829684751994,0.0131377755876894,0.0135788385477998,0.00709188611832292,0.00598588308180814,0.0120922582757617,0.00980254001956384,0.0152218442514347,0.00694136865613083,0.0136865564891302,0.0208183667034099
10,0.00321077334427028,0.0234391978764269,0.00597842235787556,0.0175012640571563,0.0210042037889326,0.00666178601629163,0.0203931611573184,0.0140015795385342,0.0248505752790341,0.0100105566457946,0.0170179234352835,0.0238762070433041,0.0101362060151754,0.00337957930675772,0.0179046416744133,0.00433251443006816,0.0159754386223782,0.00866088872643129,0.0100805506049399,0.0153755185290482,0.0038246416344549,0.0086999292175457,0.00486581493197285,0.0103641084064817,0.0136697049069182,0.0143825316501228,0.00710206044044407,0.00629282170056642,0.012096830996317,0.0100823741386282,0.0154216391820136,0.00734421865904265,0.0140293515088007,0.0211519220837337
10.1,0.00318892181611561,0.0241423785913393,0.00606368676178478,0.0176997307633032,0.0217833258797727,0.00661106034894547,0.020850884925007,0.0141978567665028,0.0251149086163096,0.0100844054300864,0.018121313202511,0.0225346196576057,0.0102151918080636,0.00373903583095294,0.0179759960267352,0.0041335130169297,0.0167310143624662,0.00895390401212531,0.0106165636789956,0.0159694181688633,0.00377279767084592,0.0090350057605969,0.00396445205076067,0.0115380140067872,0.0128034586826813,0.014471409498098,0.00717349664401749,0.00634328172028251,0.0126001916365533,0.0100669566445299,0.0155555462084072,0.0073773762411783,0.0146372565982113,0.021713649333057
10.2,0.00318386189000743,0.0245820527600326,0.00615367020410517,0.0180038908715723,0.0222347992325352,0.0065737282621074,0.0213984348457072,0.0144157354367096,0.0256173112001625,0.0104148560452189,0.0187738107699815,0.0227572415022991,0.010307157837392,0.00366309358399931,0.0181071552558746,0.00407649418185107,0.0172144130880643,0.00873190372731729,0.0103576728774849,0.0164847561687152,0.00374062921646449,0.00944336087119141,0.00371977772397001,0.0119768344981306,0.0126562407958524,0.014654215482114,0.0070167894565137,0.00638741642884917,0.0127130584906451,0.0100605399626089,0.0158975478771115,0.00777102932597919,0.0151297929435587,0.0223825879464368
10.3,0.00338250507953281,0.0247208917774572,0.00633631868496593,0.0187666847197897,0.0223982603816081,0.00662140262759349,0.0221222239976829,0.0145785388507372,0.0268562889264206,0.0117253224024063,0.0189151771247059,0.0261411379891708,0.0105697730638162,0.00258312112686294,0.0185173929767813,0.0042477091813355,0.0174922153143261,0.00816332089527285,0.00963300472156141,0.0168545046113496,0.00386776085776073,0.00997067321838227,0.00457585311650367,0.0117924518798512,0.0140774684593408,0.015223536876273,0.00586280630164116,0.00646908500943876,0.012094050415586,0.0101852627669931,0.0169099456121459,0.00867094637678378,0.0154663419549027,0.0231291525791305
10.4,0.00335068927601858,0.0250418774692042,0.00633422128233538,0.0189273462360081,0.0229569231693036,0.00660142432858818,0.0225164502282058,0.0149731196847123,0.0275131754933065,0.0117204826786314,0.0193384493491781,0.0255235658310993,0.0106976613294542,0.00280006360583268,0.0193889833078315,0.00415018240857021,0.0178800260159122,0.00883967064935171,0.0103350088288137,0.0172833106107197,0.00384526067157807,0.0102153692092502,0.00424788738250722,0.0122508330754137,0.0144359950226457,0.0157549402713172,0.0055489302544131,0.00651507281681642,0.0124239730658217,0.0102770070140968,0.0173781431382595,0.00903548060403088,0.0155328887267451,0.0237263319180919
10.5,0.00309675980724677,0.025533088941455,0.00621110396414299,0.0189750614525154,0.0238796264313083,0.00650139150755686,0.0228164514439598,0.0155164775306941,0.0279830152353439,0.0114000801664483,0.0199664354800407,0.0233671909478573,0.010755814156219,0.00338987776377164,0.0205067792994949,0.00394642955176804,0.0183978972605928,0.00942130390115792,0.0108319804952336,0.0177935806245817,0.00367597435906353,0.0103885306774601,0.00350794088955854,0.0130872944915015,0.0145878148143001,0.0162905734014507,0.00546428588794983,0.00654236350562063,0.0131210236560821,0.0103399919441521,0.0176376562714682,0.00914364492459042,0.0156374750553723,0.0242496070833186
10.6,0.00313048485803675,0.0259310341847736,0.00623812016039634,0.0190953368305215,0.024590332232162,0.00659166841565433,0.0232998512400556,0.0157979546695335,0.0287034945446426,0.011270029119584,0.0202963165167239,0.0226442497071503,0.0109084451528714,0.00305917975900375,0.0208985561680442,0.00423672455094481,0.0188659746246272,0.00951972781757691,0.0107688835555902,0.0183690946425849,0.00373685135242714,0.0106850759247604,0.00361194286233547,0.0129806214664426,0.0151097081972644,0.0168585284946672,0.00572420264246892,0.00664344465444174,0.0130250194325133,0.0104827704595801,0.0177936542941136,0.009036556677127,0.0160735901557072,0.0248093141843149
10.7,0.00324244123945197,0.0265426252759594,0.00634929193459603,0.0193118694710305,0.0248506912952555,0.00675251568985946,0.0238787843075094,0.0160082164576069,0.0292159877020812,0.0113796199247786,0.0206408354734666,0.0221800521146663,0.011151205033335,0.00296206467328783,0.02147941227858,0.00461843062907255,0.019293048569271,0.00940914928605217,0.0107932746721251,0.0189879189317813,0.0038600541909721,0.011194619292103,0.00388325305954861,0.0130056358459987,0.0153025972708429,0.0175651062675833,0.00607333727228254,0.00681322074426055,0.0131520526051673,0.0107003226496382,0.0181192638885891,0.00887876704971594,0.0161487184441308,0.0253232659099273
10.8,0.00347780493845507,0.0277750858463424,0.00690187524418545,0.0198757421468354,0.0248672654377076,0.00685257824954794,0.0245683986550019,0.0161704142830155,0.0294409146083303,0.0127067778741161,0.0210969416483,0.0218759308909745,0.0114895908361354,0.00383099973539257,0.0228927136163086,0.00492624321107524,0.0197286533329865,0.00906564900506131,0.0109987218362942,0.019624460951561,0.0039527767453246,0.0121881125909803,0.00453633134733124,0.0139494748938169,0.0148944634272523,0.0185635146658455,0.00634380771281723,0.00702122898490346,0.0148240914071672,0.0110043146338888,0.0192656620245102,0.00871599752703484,0.0161147348057497,0.0258027233523727
