,strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
27,H5708,1,4.4,28.3,23.9,0.00628271519212029,0.8943478303995376,5.51490417138211,EXP,0.9796795082562566,0.16449670275495873,0.0405541685977668,0.16735725472534502,0.1673572547253435
28,H5708,2,28.3,32.8,4.4999999999999964,0.9006305455916579,0.27696497886805216,4.939762403422007,LGX,0.9222595779471569,3.863469044692482e-14,7.46845666719407e-15,3.5236143541973497e-14,6.8114849146721225e-15
29,H5708,3,32.8,48.0,15.200000000000003,1.17759552445971,-0.36321502530420713,14.14936609476148,LGX,3.5036072490989067e-32,3.9077367298039534e-25,1.5308719297776894e-26,4.195981459714191e-25,1.6437929877805075e-26
30,M1608,1,3.7,27.7,24.0,0.0036372528791962,0.3608479791957438,2.2768390005410084,EXP,0.9931469450780968,0.06440208827517444,0.016007560517542804,0.1651788687015761,0.16517886870156206
31,M1608,2,27.7,43.5,15.8,0.36448523207494,0.43149942885553705,9.281758721154636,EXP,0.9907068999195223,0.03960956307738856,0.027877844186976485,0.0474482138026223,0.04744821380262229
32,M1608,3,43.5,48.0,4.5,0.795984660930477,-0.04726340349066793,3.474619885825609,EXP,0.9025047567438891,0.01406731416597262,-0.015854005844571174,0.017443518459195846,-0.020586585145499575
33,M37351,1,8.5,36.3,27.799999999999997,0.00813712675627123,0.5235014334726118,4.752033665445679,EXP,0.9710415045152035,0.056755282983211065,0.01849754829954092,0.10457268030268387,0.10457268030268385
34,M37351,2,36.3,38.5,2.200000000000003,0.531638560228883,0.29929772979901104,1.7152537722396588,GOM,0.995321109229652,0.7658337251709114,0.14444816527809887,1.4390047910420032,0.2235630862797315
35,M37351,3,38.5,48.0,9.5,0.830936290027894,-0.042360524059926075,7.772501890896285,EXP,0.9877060786623034,0.002233893881216705,-0.004620024057001792,0.0026741003107463653,-0.0056818767203700065
36,M55212,1,13.9,41.0,27.1,0.00574561175114024,0.5651572519986818,3.591560654733249,EXP,0.9852439241639415,0.06654535902663593,0.018055356547696324,0.1327113496827023,0.1327113496826965
