,strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
37,M55212,2,9.6,12.5,2.9000000000000004,0.12380624331735199,0.13209134753807802,0.678374003972089,GOM,0.9510752195263315,1.1842760373175083e-17,-1.9383643064401833e-14,5.0946831895809465e-17,-8.338724871670855e-14
38,M55212,3,12.5,48.0,35.5,0.25589759085543,-0.10466266423616302,6.467578401205854,EXP,0.9617337673647383,0.00032502928309604716,-0.002804424930789837,0.0020773367292769196,-0.013864287110896427
39,M6075,1,3.5,6.0,2.5,0.004338133815032529,0.13826237137831845,0.0995525437526496,EXP,0.9983648211478848,0.20682971413203616,0.05860918816285557,1.4195892748888261,1.4195892748888261
40,M6075,2,6.0,8.2,2.1999999999999993,0.142600505193351,0.228819219092884,0.7260491391087472,GOM,0.9946967716210601,0.5034282391438146,0.09454417180689727,2.3420759243778924,0.38205860916426376
41,M6075,3,8.2,48.0,39.8,0.371419724286235,-0.17396164804449799,9.148717391333356,GOM,0.9945447711321339,2.0625029278848465e-09,-0.004900342942763099,1.0744624426621841e-08,-0.017603909402946337
42,M74707,1,5.5,10.8,5.300000000000001,0.00825281777701178,0.12439360537885422,0.1315451351306692,EXP,0.9708385905832533,0.17106368819369458,0.021932202149853156,1.4104084368513894,0.44730048715858495
43,M74707,2,10.8,12.8,2.0,0.132646423155866,0.11557581077872797,0.440421147265296,LGX,0.9651904692790615,1.42326347549119e-13,-5.0364306995145086e-12,6.505078802431587e-13,-2.301919437034259e-11
44,M74707,3,12.8,48.0,35.2,0.24822223393459397,-0.10440912657279697,5.979246406811532,EXP,0.9911376047357681,0.00012206317874184682,-0.0030276067869210908,0.0008217448406841406,-0.015355465084552555
45,PA14,1,1.4,7.1,5.699999999999999,0.00270348642379017,0.15440984540143582,0.1630108018542505,EXP,0.9990533224114418,0.1698867138010074,0.028364526569906127,1.0646192493514652,0.6577516010303541
46,PA14,2,7.1,9.4,2.3000000000000007,0.157113331825226,0.151122947940696,0.6233274298827163,EXP,0.9634740470726786,0.24650222575295283,0.08187567211511244,1.7594816452406865,0.38784708454602224
47,PA14,3,9.4,48.0,38.6,0.308236279765922,-0.15034547040635599,7.8607771792184336,GOM,0.9887453890270959,0.00043230146932591397,-0.0039134974157183445,0.0026882793046094514,-0.01714952040807377
48,PA7,1,2.6,7.4,4.800000000000001,0.00121908971862968,0.13837675035795433,0.15994680491472885,EXP,0.9959742215187599,0.12955895989878113,0.03082510086898917,0.8845022362896633,0.8845022362896632
49,PA7,2,7.4,9.7,2.299999999999999,0.13959584007658402,0.174310829886392,0.6424582022324473,GOM,0.9946300880536982,0.47502680884728987,0.06776237320592007,2.3892131398114573,0.30116169826891453
50,PA7,3,9.7,48.0,38.3,0.313906669962976,-0.107620703332346,8.708496230823346,LGX,0.07933599445795962,5.232357686347629e-81,-7.050187913528426e-18,2.3003307790010007e-80,-3.099513685302132e-17
51,PAO1,1,3.9,5.8,1.9,0.00988780775099598,0.159547024826682,0.0989233675416043,EXP,0.9986273533565995,0.2888108631163751,0.08520615781303223,1.729826403064297,1.3843263327402622
52,PAO1,2,5.8,7.7,1.9000000000000004,0.169434832577678,0.25787513019868996,0.7342059085889545,EXP,0.9518946170099738,0.7756550661621057,0.17711370563353968,5.629719128127261,0.7525731999908156
53,PAO1,3,7.7,48.0,40.3,0.42730996277636796,-0.26563655393815294,8.695995799826262,GOM,0.9786701213533359,2.1490945343183202e-06,-0.005856301470905273,1.2099223181528038e-05,-0.02095871339751084
54,S86968,1,3.0,7.1,4.1,0.00139469561136648,0.08805106412790181,0.08220673531551527,EXP,0.9993150980242048,0.10152262994913183,0.021989638493488423,1.1340243008159452,0.8810398812151673
55,S86968,2,7.1,9.3,2.200000000000001,0.0894457597392683,0.1373575940597627,0.4452246125447773,LGX,0.989841566638468,0.29597002690719926,0.059762118735047144,1.8116595002818303,0.38514376370539455
56,S86968,3,9.3,48.0,38.7,0.226803353799031,-0.14446997458997002,4.684350073426603,GOM,0.9910009822918983,0.00014322494641432347,-0.003600136939094456,0.0015870597053138172,-0.024105522828537864
57,T38079,1,4.0,8.9,4.9,0.00567482098693274,0.08947292754153285,0.11215168163414725,EXP,0.9962845349156695,0.08519015364818351,0.017540504653415695,0.9457014298799659,0.5288760117730784
58,T38079,2,8.9,11.1,2.1999999999999993,0.0951477485284656,0.14024663777294943,0.45871488882961886,GOM,0.9980701167355359,0.2831419649863268,0.05946011029436642,1.93823336252194,0.38229984673376416
59,T38079,3,11.1,48.0,36.9,0.23539438630141502,-0.10564604304620004,5.912254914644088,LGX,0.9932650025512365,0.00011347295176042717,-0.0028427657362890416,0.0008447118950180296,-0.015630094103387265
